CIOMS,CIOMS Publication,Chinese translation: Real-world data/evidence in regulatory decision making,Visit the link for more information,https://cioms.ch/publications/product/chinese-translation-real-world-data-evidence-in-regulatory-decision-making/,
CIOMS,CIOMS Publication,CIOMS Cumulative Glossary with a Focus on Pharmacovigilance - 75th Anniversary Edition,Visit the link for more information,https://cioms.ch/publications/product/cioms-cumulative-glossary-anniversary-edition/,
CIOMS,CIOMS Publication,CIOMS Guide to Active Vaccine Safety Surveillance,Visit the link for more information,https://cioms.ch/publications/product/cioms-guide-to-active-vaccine-safety-surveillance/,
CIOMS,CIOMS Publication,CIOMS Guide to Vaccine Safety Communication,Visit the link for more information,https://cioms.ch/publications/product/cioms-guide-vaccine-safety-communication/,
CIOMS,CIOMS Publication,"Clinical Pharmacology in Health Care, Teaching and Research",Visit the link for more information,https://cioms.ch/publications/product/clinical-pharmacology-in-health-care-teaching-and-research/,
CIOMS,CIOMS Publication,Clinical research in resource-limited settings,Visit the link for more information,https://cioms.ch/publications/product/clinical-research-in-low-resource-settings/,
CIOMS,CIOMS Publication,Current Challenges in Pharmacovigilance: Pragmatic Approaches - Report of CIOMS Working Group V,Visit the link for more information,https://cioms.ch/publications/product/current-challenges-in-pharmacovigilance-pragmatic-approaches-report-of-cioms-working-group-5/,
CIOMS,CIOMS Publication,Definitions and Applications of Terms for Vaccine Pharmacovigilance,Visit the link for more information,https://cioms.ch/publications/product/definitions-and-applications-of-terms-for-vaccine-pharmacovigilance/,
CIOMS,CIOMS Publication,Development and Rational Use of Standardised MedDRA Queries (SMQs): Retrieving Adverse Drug Reactions with MedDRA,Visit the link for more information,https://cioms.ch/publications/product/development-and-rational-use-of-standardised-meddra-queries-smqs-retrieving-adverse-drug-reactions-with-meddra/,
CIOMS,CIOMS Publication,Development and Rational Use of Standardised MedDRA Queries (SMQs): Retrieving Adverse Drug Reactions with MedDRA – Second Edition,Visit the link for more information,https://cioms.ch/publications/product/council-for-international-organizations-of-medical-sciences-cioms/,
CIOMS,CIOMS Publication,Development Safety Update Report (DSUR) Harmonizing the Format and Content for Periodic Safety Report during Clinical Trials: Report of CIOMS Working Group VII,Visit the link for more information,https://cioms.ch/publications/product/development-safety-update-report-dsur-harmonizing-format-content-periodic-safety-report-clinical-trials-report-cioms-working-group-vii/,
CIOMS,CIOMS Publication,Diseases of the Digestive Sytem (vol. 4),Visit the link for more information,https://cioms.ch/publications/product/diseases-of-the-digestive-sytem-vol-4/,
CIOMS,CIOMS Publication,"Diseases of the Kidney, the Lower Urinary Tract, and the Male Genital System (vol. 7)",Visit the link for more information,https://cioms.ch/publications/product/diseases-of-the-kidney-the-lower-urinary-tract-and-the-male-genital-system-vol-7/,
CIOMS,CIOMS Publication,Diseases of the Lower Respiratory Tract (vol. 3),Visit the link for more information,https://cioms.ch/publications/product/diseases-of-the-lower-respiratory-tract-vol-3/,
CIOMS,CIOMS Publication,"Drug Surveillance: International Cooperation Past, Present and Future",Visit the link for more information,https://cioms.ch/publications/product/drug-surveillance-international-cooperation-past-present-future/,
CIOMS,CIOMS Publication,Drug-Induced Liver Injury,Visit the link for more information,https://cioms.ch/publications/product/drug-induced-liver-injury/,
CIOMS,CIOMS Publication,Economics and health policy,Visit the link for more information,https://cioms.ch/publications/product/economics-and-health-policy/,
CIOMS,CIOMS Publication,Ethics and Epidemiology: International Guidelines,Visit the link for more information,https://cioms.ch/publications/product/draft-created-on-january-17-2023-at-1008-am/,
CIOMS,CIOMS Publication,Ethics and human values in family planning,Visit the link for more information,https://cioms.ch/publications/product/ethics-and-human-values-in-family-planning/,
CIOMS,CIOMS Publication,Ethics and Research on Human Subjects. International Guidelines,Visit the link for more information,https://cioms.ch/publications/product/ethics-and-research-on-human-subjects-international-guidelines/,
CIOMS,CIOMS Publication,"Ethics, Equity and Health for All",Visit the link for more information,https://cioms.ch/publications/product/ethics-equity-and-health-for-all/,
CIOMS,CIOMS Publication,Evidence Synthesis and Meta-Analysis: Report of CIOMS Working Group X,Visit the link for more information,https://cioms.ch/publications/product/evidence-synthesis-and-meta-analysis-report-of-cioms-working-group-x/,
CIOMS,CIOMS Publication,"Genetics, Ethics and Human Values",Visit the link for more information,https://cioms.ch/publications/product/genetics-ethics-and-human-values/,
CIOMS,CIOMS Publication,Glossary of ICH terms and definitions,Visit the link for more information,https://cioms.ch/publications/product/glossary-of-ich-terms-and-definitions/,
CIOMS,CIOMS Publication,Guidelines for Preparing Core Clinical-Safety Information on Drugs - Report of CIOMS Working Group III,Visit the link for more information,https://cioms.ch/publications/product/guidelines-preparing-core-clinical-safety-information-drugs-report-cioms-working-group-iii/,
CIOMS,CIOMS Publication,Guidelines for Preparing Core Clinical-Safety Information on Drugs Second Edition - Report of CIOMS Working Groups III and V,Visit the link for more information,https://cioms.ch/publications/product/guidelines-preparing-core-clinical-safety-information-drugs-second-edition-report-cioms-working-groups-iii-v/,
CIOMS,CIOMS Publication,Harmonization of data fields for electronic transmission of case-report information internationally,Visit the link for more information,https://cioms.ch/publications/product/harmonization-of-data-fields-for-electronic-transmission-of-case-report-information-internationally/,
CIOMS,CIOMS Publication,Health for All - A Challenge to Research in Health Manpower Development,Visit the link for more information,https://cioms.ch/publications/product/health-for-all-a-challenge-to-research-in-health-manpower-development-2/,
CIOMS,CIOMS Publication,Health for all - A challenge to research in health manpower development,Visit the link for more information,https://cioms.ch/publications/product/health-for-all-a-challenge-to-research-in-health-manpower-development/,
CIOMS,CIOMS Publication,"Health Manpower Out of Balance, Conflicts and Prospects",Visit the link for more information,https://cioms.ch/publications/product/health-manpower-out-of-balance-conflicts-and-prospects-2/,
CIOMS,CIOMS Publication,Health Manpower Out of Balance: Conflicts and Prospects,Visit the link for more information,https://cioms.ch/publications/product/health-manpower-out-of-balance-conflicts-and-prospects/,
CIOMS,CIOMS Publication,Health Policy Ethics and Human Values (Athens conference),Visit the link for more information,https://cioms.ch/publications/product/health-policy-ethics-and-human-values-cairo-seminar/,
CIOMS,CIOMS Publication,"Health Policy, Ethics and Human Values: An International Dialogue",Visit the link for more information,https://cioms.ch/publications/product/health-policy-ethics-and-human-values-an-international-dialogue/,
CIOMS,CIOMS Publication,"Health Policy, Ethics and Human Values: European and North American Perspectives",Visit the link for more information,https://cioms.ch/publications/product/health-policy-ethics-and-human-values-european-and-north-american-perspectives/,
CIOMS,CIOMS Publication,Health Technology Transfer: whose responsibility?,Visit the link for more information,https://cioms.ch/publications/product/health-technology-transfer-whose-responsibility/,
CIOMS,CIOMS Publication,Human Experimentation and Medical Ethics,Visit the link for more information,https://cioms.ch/publications/product/human-experimentation-and-medical-ethics/,
CIOMS,CIOMS Publication,Infectious Diseases (vol. 2 part 1: Bacterial Diseases),Visit the link for more information,https://cioms.ch/publications/product/infectious-diseases-vol-2-part-1-bacterial-diseases/,
CIOMS,CIOMS Publication,Infectious Diseases (vol. 2 part 2: Mycoses),Visit the link for more information,https://cioms.ch/publications/product/infectious-diseases-vol-2-part-2-mycoses/,
CIOMS,CIOMS Publication,Infectious Diseases (vol. 2 part 3: Viral Diseases),Visit the link for more information,https://cioms.ch/publications/product/infectious-diseases-vol-2-part-3-viral-diseases/,
CIOMS,CIOMS Publication,International Ethical Guidelines for Biomedical Research Involving Human Subjects,Visit the link for more information,https://cioms.ch/publications/product/international-ethical-guidelines-for-biomedical-research-involving-human-subjects-2/,
CIOMS,CIOMS Publication,International Ethical Guidelines for Biomedical Research Involving Human Subjects,Visit the link for more information,https://cioms.ch/publications/product/international-ethical-guidelines-for-biomedical-research-involving-human-subjects/,
CIOMS,CIOMS Publication,International Ethical Guidelines for Epidemiological Studies,Visit the link for more information,https://cioms.ch/publications/product/international-ethical-guidelines-for-epidemiological-studies/,
CIOMS,CIOMS Publication,International guidelines on good governance practice for research institutions,Visit the link for more information,https://cioms.ch/publications/product/international-guidelines-on-good-governance-practice-for-research-institutions/,
CIOMS,CIOMS Publication,International Guiding Principles for Biomedical Research Involving Animals,Visit the link for more information,https://cioms.ch/publications/product/international-guiding-principles-for-biomedical-research-involving-animals-2/,
CIOMS,CIOMS Publication,International Guiding Principles for Biomedical Research Involving Animals,Visit the link for more information,https://cioms.ch/publications/product/international-guiding-principles-for-biomedical-research-involving-animals-2/,
CIOMS,CIOMS Publication,International Reporting of Adverse Drug Reactions,Visit the link for more information,https://cioms.ch/publications/product/international-reporting-adverse-drug-reactions/,
CIOMS,CIOMS Publication,International Reporting of Adverse Drug Reactions (1990),Visit the link for more information,https://cioms.ch/publications/product/international-reporting-of-adverse-drug-reactions-1990/,
CIOMS,CIOMS Publication,International Reporting of Periodic Drug-Safety Update Summaries,Visit the link for more information,https://cioms.ch/publications/product/international-reporting-of-periodic-drug-safety-update-summaries/,
CIOMS,CIOMS Publication,Introduction to MedDRA Labeling Grouping (MLG),Visit the link for more information,https://cioms.ch/publications/product/introduction-mlg-report/,
CIOMS,CIOMS Publication,Japanese translation: 2016 International Ethical Guidelines for Health-related Research Involving Humans,Visit the link for more information,https://cioms.ch/publications/product/japanese-translation-2016-international-ethical-guidelines-for-health-related-research-involving-humans/,
CIOMS,CIOMS Publication,Japanese translation: Development and Rational Use of Standardised MedDRA Queries (SMQs): Retrieving Adverse Drug Reactions with MedDRA,Visit the link for more information,https://cioms.ch/publications/product/japanese-translation-development-rational-use-standardised-meddra-queries-smqs-retrieving-adverse-drug-reactions-meddra/,
CIOMS,CIOMS Publication,Korean translation: CIOMS 2016 International ethical guidelines for health-related research involving humans,Visit the link for more information,https://cioms.ch/publications/product/korean-translation-cioms-2016-international-ethical-guidelines-for-health-related-research-involving-humans/,
CIOMS,CIOMS Publication,"Korean translation: Clinical Pharmacology in Health Care, Teaching and Research",Visit the link for more information,https://cioms.ch/https/ciomsch/wp-content/uploads/2024/01/clin-pharmacol_korean-version-_kscpt20150210.pdf,
CIOMS,CIOMS Publication,Lignes directrices internationales d’éthique pour la recherche en matière de santé impliquant des participants humains,Visit the link for more information,https://cioms.ch/publications/product/lignes-directrices-internationales-dethique-pour-la-recherche-en-matiere-de-sante-impliquant-des-participants-humains/,
CIOMS,CIOMS Publication,Lignes directrices internationales d'éthique pour la recherche biomédicale impliquant des sujets humains,Visit the link for more information,https://cioms.ch/publications/product/lignes-directrices-internationales-dethique-pour-la-recherche-biomedicale-impliquant-des-sujets-humains/,
CIOMS,CIOMS Publication,Management of Safety Information from Clinical Trials: Report of CIOMS Working Group VI,Visit the link for more information,https://cioms.ch/publications/product/management-of-safety-information-from-clinical-trials-report-of-cioms-working-group-vi/,
CIOMS,CIOMS Publication,Medical ethics and medical education,Visit the link for more information,https://cioms.ch/publications/product/medical-ethics-and-medical-education/,
CIOMS,CIOMS Publication,Medical Experimentation and the Protection of Human Rights,Visit the link for more information,https://cioms.ch/publications/product/medical-experimentation-and-the-protection-of-human-rights/,
CIOMS,CIOMS Publication,"Metabolic, Nutritional and Endocrine Disorders (vol. 6)",Visit the link for more information,https://cioms.ch/publications/product/metabolic-nutritional-and-endocrine-disorders-vol-6-2/,
CIOMS,CIOMS Publication,Monitoring and Assessment of Adverse Drug Effects,Visit the link for more information,https://cioms.ch/publications/product/monitoring-assessment-adverse-drug-effects/,
CIOMS,CIOMS Publication,"Patient involvement in the development, regulation and safe use of medicines",Visit the link for more information,https://cioms.ch/publications/product/patient-involvement/,
CIOMS,CIOMS Publication,Pautas éticas internacionales para la investigación relacionada con la salud con seres humanos,Visit the link for more information,https://cioms.ch/publications/product/pautas-eticas-internacionales-para-la-investigacion-relacionada-con-la-salud-con-seres-humanos/,
CIOMS,CIOMS Publication,Pautas Éticas Internacionales para la Investigacion Biomédica en Seres Humanos,Visit the link for more information,https://cioms.ch/publications/product/pautas-eticas-internacionales-para-la-investigacion-biomedica-en-seres-humanos/,
CIOMS,CIOMS Publication,Pharmacogenetics: Towards improving treatment with medicines,Visit the link for more information,https://cioms.ch/publications/product/pharmacogenetics-towards-improving-treatment-medicines/,
CIOMS,CIOMS Publication,Polish translation: 2016 International ethical guidelines for health-related research involving humans,Visit the link for more information,https://cioms.ch/publications/product/polish-translation-2016-international-ethical-guidelines-for-health-related-research-involving-humans/,
CIOMS,CIOMS Publication,"Poverty, Vulnerability and the Value of Human Life",Visit the link for more information,https://cioms.ch/publications/product/poverty-vulnerability-value-human-life/,
CIOMS,CIOMS Publication,Practical Approaches to Risk Minimisation for Medicinal Products: Report of CIOMS Working Group IX,Visit the link for more information,https://cioms.ch/publications/product/practical-approaches-to-risk-minimisation-for-medicinal-products-report-of-cioms-working-group-ix/,
CIOMS,CIOMS Publication,Practical Aspects of Signal Detection in Pharmacovigilance: Report of CIOMS Working Group VIII,Visit the link for more information,https://cioms.ch/publications/product/practical-aspects-of-signal-detection-in-pharmacovigilance-report-of-cioms-working-group-viii/,
CIOMS,CIOMS Publication,Principles of Medical Ethics Relevant to the Protection of Prisoners Against Torture,Visit the link for more information,https://cioms.ch/publications/product/1983-principles-of-medical-ethics-relevant-to-the-protection-of-prisoners-against-torture/,
CIOMS,CIOMS Publication,Proposed International Guidelines for Biomedical Research Involving Human Subjects,Visit the link for more information,https://cioms.ch/publications/product/proposed-international-guidelines-for-biomedical-research-involving-human-subjects/,
CIOMS,CIOMS Publication,Real-world data and real-world evidence in regulatory decision making,Visit the link for more information,https://cioms.ch/publications/product/real-world-data-and-real-world-evidence-in-regulatory-decision-making/,
CIOMS,CIOMS Publication,Reporting Adverse Drug Reactions: Definitions of Terms and Criteria for Their Use,Visit the link for more information,https://cioms.ch/publications/product/reporting-adverse-drug-reactions-definitions-of-terms-and-criteria-for-their-use/,
CIOMS,CIOMS Publication,Russian translation: 2016 International Ethical Guidelines for Health-related Research Involving Humans,Visit the link for more information,https://cioms.ch/publications/product/russian-translation-2016-international-ethical-guidelines-health-related-research-involving-humans/,
CIOMS,CIOMS Publication,Safety Requirements for the First Use of New Drugs and Diagnostic Agents in Man,Visit the link for more information,https://cioms.ch/publications/product/safety-requirements-for-the-first-use-of-new-drugs-and-diagnostic-agents-in-man/,
CIOMS,CIOMS Publication,The impact of scientific advances on future health (WHO-CIOMS),Visit the link for more information,https://cioms.ch/publications/product/the-impact-of-scientific-advances-on-future-health-who-cioms/,
ASD Acronym,Designation,Title of Standard,Abstract,Link,Published Status
CIOMS,CIOMS Publication,Ukrainian translation: 2016 International Ethical Guidelines for Health-related Research Involving Humans,Visit the link for more information,https://cioms.ch/publications/product/%D0%BC%D1%96%D0%B6%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%96-%D0%B5%D1%82%D0%B8%D1%87%D0%BD%D1%96-%D1%80%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D1%96%D1%97-%D1%89%D0%BE%D0%B4%D0%BE/,
