ASD Acronym,Designation,Title of Standard,Abstract,Link,
PIC/S,PI 056-1,PIC/S Guidance on Remote Assessments,Visit the link for more information,https://picscheme.org/docview/9256,
PIC/S,PE 011-1,PIC/S Guide to Good Distribution Practice (GDP) for Medicinal Products,Visit the link for more information,https://picscheme.org/docview/3450,
PIC/S,PI 046-1,PIC/S Guideline on Exposure Limits,Visit the link for more information,https://picscheme.org/docview/2467,
PIC/S,PS W 14 2011 (Rev. 3),PIC/S Guidelines for Accession,Visit the link for more information,https://picscheme.org/docview/4649,
PIC/S,PS W 12 2019 (Rev. 1),PIC/S Guidelines for the Pre-Accession Procedure,Visit the link for more information,https://picscheme.org/docview/4650,
PIC/S,PI 045-1,PIC/S Guidelines on Excipient GMP Risk Assessment,Visit the link for more information,https://picscheme.org/docview/2465,
PIC/S,PI 047-1,PIC/S Guidelines on GDP of Active Substances for Human Use,Visit the link for more information,https://picscheme.org/docview/2466,
PIC/S,PI 054-1,PIC/S Recommendation How to Evaluate and Demonstrate the Effectiveness of the Pharmaceutical Quality System with regard to Risk-Based Change Management,Visit the link for more information,https://picscheme.org/docview/4294,
PIC/S,PI 037-1,PIC/S Recommendation on Risk-Based Inspection Planning,Visit the link for more information,https://picscheme.org/docview/3439,
PIC/S,PS W 18 2018,PIC/S Work Plan for 2019,Visit the link for more information,https://picscheme.org/docview/2304,
PIC/S,PS W 37 2020,PIC/S Work Plan for 2020,Visit the link for more information,https://picscheme.org/docview/4457,
PIC/S,PS W 01 2021,PIC/S Work Plan for 2021,Visit the link for more information,https://picscheme.org/docview/3998,
PIC/S,PS W 13 2022,PIC/S Work Plan for 2022,Visit the link for more information,https://picscheme.org/docview/4697,
PIC/S,PS W 03 2023,PIC/S Work Plan for 2023,Visit the link for more information,https://picscheme.org/docview/6631,
PIC/S,PR Dec 2006,Press Release December 2006,Visit the link for more information,https://picscheme.org/docview/3420,
PIC/S,PR December 2019,Press Release December 2019,Visit the link for more information,https://picscheme.org/docview/2013,
PIC/S,PR Feb 2005,Press Release February 2005,Visit the link for more information,https://picscheme.org/docview/2887,
PIC/S,PR Jul 2016,Press Release July 2016,Visit the link for more information,https://picscheme.org/docview/3028,
PIC/S,PR Jun 2003,Press Release June 2003,Visit the link for more information,https://picscheme.org/docview/3416,
PIC/S,PR Jun 2004,Press Release June 2004,Visit the link for more information,https://picscheme.org/docview/3418,
PIC/S,PR Jun 2006,Press Release June 2006,Visit the link for more information,https://picscheme.org/docview/3419,
PIC/S,PR March 2017,Press Release March 2017,Visit the link for more information,https://picscheme.org/docview/2762,
PIC/S,PR May 2002,Press Release May 2002,Visit the link for more information,https://picscheme.org/docview/2886,
PIC/S,PR May 2007,Press Release May 2007,Visit the link for more information,https://picscheme.org/docview/3421,
PIC/S,PR May 2008,Press Release May 2008,Visit the link for more information,https://picscheme.org/docview/2888,
PIC/S,PR May 2009,Press Release May 2009,Visit the link for more information,https://picscheme.org/docview/3424,
PIC/S,PR May 2010,Press Release May 2010,Visit the link for more information,https://picscheme.org/docview/3426,
PIC/S,PR May 2012,Press Release May 2012,Visit the link for more information,https://picscheme.org/docview/3430,
PIC/S,PR May 2013,Press Release May 2013,Visit the link for more information,https://picscheme.org/docview/3432,
PIC/S,PR May 2014,Press Release May 2014,Visit the link for more information,https://picscheme.org/docview/3434,
PIC/S,PR May 2015,Press Release May 2015,Visit the link for more information,https://picscheme.org/docview/3436,
PIC/S,PR May 2018,Press Release May 2018,Visit the link for more information,https://picscheme.org/docview/2480,
PIC/S,PR May 2019,Press Release May 2019,Visit the link for more information,https://picscheme.org/docview/2269,
PIC/S,PR 01 Jun 2011,Press Release No 1 June 2011,Visit the link for more information,https://picscheme.org/docview/3427,
PIC/S,PR 02 Jun 2011,Press Release No 2 June 2011,Visit the link for more information,https://picscheme.org/docview/3428,
PIC/S,PR Nov 2003,Press Release November 2003,Visit the link for more information,https://picscheme.org/docview/3417,
PIC/S,PR Nov 2007,Press Release November 2007,Visit the link for more information,https://picscheme.org/docview/3422,
PIC/S,PR Nov 2008,Press Release November 2008,Visit the link for more information,https://picscheme.org/docview/3423,
PIC/S,PR Nov 2009,Press Release November 2009,Visit the link for more information,https://picscheme.org/docview/3425,
PIC/S,PR Nov 2010,Press Release November 2010,Visit the link for more information,https://picscheme.org/docview/2889,
PIC/S,PR Nov 2011,Press Release November 2011,Visit the link for more information,https://picscheme.org/docview/3429,
PIC/S,PR Nov 2013,Press Release November 2013,Visit the link for more information,https://picscheme.org/docview/3433,
PIC/S,PR Nov 2014,Press Release November 2014,Visit the link for more information,https://picscheme.org/docview/3435,
PIC/S,PR Nov 2015,Press Release November 2015,Visit the link for more information,https://picscheme.org/docview/3036,
PIC/S,PR Oct 2012,Press Release October 2012,Visit the link for more information,https://picscheme.org/docview/3431,
PIC/S,PR October 2017,Press Release October 2017,Visit the link for more information,https://picscheme.org/docview/2655,
PIC/S,PR October 2018,Press Release October 2018,Visit the link for more information,https://picscheme.org/docview/2404,
PIC/S,PI 010-5,Procedure for Handling Rapid Alerts and Recalls Arising from Quality Defects,Visit the link for more information,https://picscheme.org/docview/2681,
PIC/S,PI 039-1,Procedure on Notification of Foreign Inspections,Visit the link for more information,https://picscheme.org/docview/3035,
PIC/S,PS W 10 2018,Public Summary Version of PIC/S Road Map 2018-2020,Visit the link for more information,https://picscheme.org/docview/2473,
PIC/S,PS INF 20 2011,QA Distribution Activities for APIs - May 2010,Visit the link for more information,https://picscheme.org/docview/3459,
PIC/S,PS INF 22 2017,QA on PIC/S GDP Guide (PE 011-1),Visit the link for more information,https://picscheme.org/docview/6235,
PIC/S,PS INF 06 2012 (Rev 1),QA on Traceability of Medicinal Gases,Visit the link for more information,https://picscheme.org/docview/3458,
PIC/S,PI 002-3,Quality System Requirements For Pharmaceutical Inspectorates,Visit the link for more information,https://picscheme.org/docview/3462,
PIC/S,PS W 01 2011 (Rev. 1),Questionnaire for Assessment,Visit the link for more information,https://picscheme.org/docview/4648,
PIC/S,PI 053-1,Questions and Answers (Q&A) on the Implementation of Risk-Based Prevention of Cross-Contamination in Production and ‘Guideline on Setting Health-Based Exposure Limits (HBEL) for Use in Risk Identification in the Manufacture of Different Medicinal Products in Shared Facilities’,Visit the link for more information,https://picscheme.org/docview/1948,
PIC/S,PI 012-3,Recommendation on Sterility Testing,Visit the link for more information,https://picscheme.org/docview/3442,
PIC/S,PI 026-2,Recommendation on the Qualification and Training of Inspectors in the Field of Human Blood Tissues and Cells,Visit the link for more information,https://picscheme.org/docview/1951,
PIC/S,PICS 1/95 (Rev 6),Revised PIC/S Scheme,Visit the link for more information,https://picscheme.org/docview/2147,
PIC/S,PI 020-3,Site Master File (SMF) for Plasma Warehouses,Visit the link for more information,https://picscheme.org/docview/2405,
PIC/S,PI 019-3,Site Master File (SMF) for Source Plasma Establishments,Visit the link for more information,https://picscheme.org/docview/2406,
PIC/S,PI 013-3,Standard Operating Procedure PIC/S Inspection Report Format,Visit the link for more information,https://picscheme.org/docview/3461,
PIC/S,PI 031-1,Standard Operating Procedure Team Inspections,Visit the link for more information,https://picscheme.org/docview/3460,
PIC/S,PI 006-3,Validation Master Plan Installation and Operational Qualification Non-Sterile Process Validation Cleaning Validation,Visit the link for more information,https://picscheme.org/docview/3447,
PIC/S,PI 007-6,Validation of Aseptic Processes,Visit the link for more information,https://picscheme.org/docview/3446,
