ASD Acronym,Designation,Title of Standard,Abstract,Link,,,
IEC,IEC 60216-5:2022 CMV,Electrical insulating materials - Thermal endurance properties - Part 5: Determination of relative temperature index (RTI) of an insulating material,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60216-5:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60216-5:2022 CMV
IEC,IEC 60228:2023 CMV,Conductors of insulated cables,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60228:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60228:2023 CMV
IEC,IEC 60255-27:2023 CMV,Measuring relays and protection equipment - Part 27: Product safety requirements,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60255-27:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60255-27:2023 CMV
IEC,IEC 60268-7:2025 CMV,Sound system equipment - Part 7: Headphones and earphones,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60268-7:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60268-7:2025 CMV
IEC,IEC 60286-3:2022 CMV,Packaging of components for automatic handling - Part 3: Packaging of surface mount components on continuous tapes,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60286-3:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60286-3:2022 CMV
IEC,IEC 60287-1-1:2023 CMV,Electric cables - Calculation of the current rating - Part 1-1: Current rating equations (100 % load factor) and calculation of losses - General,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-1-1:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-1-1:2023 CMV
IEC,IEC 60287-1-3:2023 CMV,Electric cables - Calculation of the current rating - Part 1-3: Current rating equations (100 % load factor) and calculation of losses - Current sharing between parallel single-core cables and calculation of circulating current losses,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-1-3:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-1-3:2023 CMV
IEC,IEC 60287-2-1:2023 CMV,Electric cables - Calculation of the current rating - Part 2-1: Thermal resistance - Calculation of thermal resistance,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-2-1:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-2-1:2023 CMV
IEC,IEC 60300-3-14:2024,Dependability management - Part 3-14: Application guide - Supportability and support,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60300-3-14:2024,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60300-3-14:2024
IEC,IEC 60332-1-2:2025 CMV,Tests on electric and optical fibre cables under fire conditions - Part 1-2: Test for vertical flame propagation for a single insulated wire or cable - Procedure for 1 kW pre-mixed flame,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60332-1-2:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60332-1-2:2025 CMV
IEC,IEC 60335-1:2020 CMV,Household and similar electrical appliances - Safety - Part 1: General requirements,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-1:2020 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-1:2020 CMV
IEC,IEC 60335-2-3:2022 CMV,Household and similar electrical appliances - Safety - Part 2-3: Particular requirements for electric irons,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-3:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-3:2022 CMV
IEC,IEC 60335-2-5:2025 CMV,Household and similar electrical appliances - Safety - Part 2-5: Particular requirements for dishwashers,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-5:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-5:2025 CMV
IEC,IEC 60335-2-6:2024 CMV,"Household and similar electrical appliances - Safety - Part 2-6: Particular requirements for stationary cooking ranges, hobs, ovens and similar appliances",Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-6:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-6:2024 CMV
IEC,IEC 60335-2-7:2024 CMV,Household and similar electrical appliances - Safety - Part 2-7: Particular requirements for washing machines,Edition 9.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-7:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-7:2024 CMV
IEC,IEC 60335-2-8:2022 CMV,"Household and similar electrical appliances - Safety - Part 2-8: Particular requirements for shavers, hair clippers and similar appliances",Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-8:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-8:2022 CMV
IEC,IEC 60335-2-10:2021 CMV,Household and similar electrical appliances - Safety - Part 2-10: Particular requirements for floor treatment machines and wet scrubbing machines,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-10:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-10:2021 CMV
IEC,IEC 60335-2-11:2024 CMV,Household and similar electrical appliances - Safety - Part 2-11: Particular requirements for tumble dryers,Edition 9.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-11:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-11:2024 CMV
IEC,IEC 60335-2-12:2024 CMV,Household and similar electrical appliances - Safety - Part 2-12: Particular requirements for warming plates and similar appliances,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-12:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-12:2024 CMV
IEC,IEC 60335-2-13:2021 CMV,"Household and similar electrical appliances - Safety - Part 2-13: Particular requirements for deep fat fryers, frying pans and similar appliances",Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-13:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-13:2021 CMV
IEC,IEC 60335-2-14:2025 CMV,Household and similar electrical appliances - Safety - Part 2-14: Particular requirements for kitchen machines,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-14:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-14:2025 CMV
IEC,IEC 60335-2-15:2024 CMV,Household and similar electrical appliances - Safety - Part 2-15: Particular requirements for appliances for heating liquids,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-15:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-15:2024 CMV
IEC,IEC 60335-2-16:2022 CMV,Household and similar electrical appliances - Safety - Part 2-16: Particular requirements for food waste disposers,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-16:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-16:2022 CMV
IEC,IEC 60335-2-17:2022 CMV,"Household and similar electrical appliances - Safety - Part 2-17: Particular requirements for blankets, pads, clothing and similar flexible heating appliances",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-17:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-17:2022 CMV
IEC,IEC 60335-2-21:2022 CMV,Household and similar electrical appliances - Safety - Part 2-21: Particular requirements for storage water heaters,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-21:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-21:2022 CMV
IEC,IEC 60335-2-26:2024 CMV,Household and similar electrical appliances - Safety - Part 2-26: Particular requirements for clocks,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-26:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-26:2024 CMV
IEC,IEC 60335-2-31:2024 CMV,Household and similar electrical appliances - Safety - Part 2-31: Particular requirements for range hoods and other cooking fume extractors,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-31:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-31:2024 CMV
IEC,IEC 60335-2-32:2024 CMV,Household and similar electrical appliances - Safety - Part 2-32: Particular requirements for massage appliances,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-32:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-32:2024 CMV
IEC,IEC 60335-2-36:2021 CMV,"Household and similar electrical appliances - Safety - Part 2-36: Particular requirements for commercial electric cooking ranges, ovens, hobs and hob elements",Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-36:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-36:2021 CMV
IEC,IEC 60335-2-41:2024 CMV,Household and similar electrical appliances - Safety - Part 2-41: Particular requirements for pumps,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-41:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-41:2024 CMV
IEC,IEC 60335-2-42:2021+AMD1:2025 CSV,"Household and similar electrical appliances - Safety - Part 2-42: Particular requirements for commercial electric forced convection ovens, steam cookers and steam-convection ovens",Edition 6.1,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-42:2021+AMD1:2025 CSV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-42:2021+AMD1:2025 CSV
IEC,IEC 60335-2-43:2024 CMV,Household and similar electrical appliances - Safety - Part 2-43: Particular requirements for clothes dryers and towel rails,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-43:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-43:2024 CMV
IEC,IEC 60335-2-45:2024 CMV,Household and similar electrical appliances - Safety - Part 2-45: Particular requirements for portable heating tools and similar appliances,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-45:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-45:2024 CMV
IEC,IEC 60335-2-51:2023 CMV,Household and similar electrical appliances - Safety - Part 2-51: Particular requirements for stationary circulation pumps for heating and service water installations,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-51:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-51:2023 CMV
IEC,IEC 60335-2-54:2022 CMV,Household and similar electrical appliances - Safety - Part 2-54: Particular requirements for surface-cleaning appliances for household use employing liquids or steam,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-54:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-54:2022 CMV
IEC,IEC 60335-2-59:2021 CMV,Household and similar electrical appliances - Safety - Part 2-59: Particular requirements for insect killers,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-59:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-59:2021 CMV
IEC,IEC 60335-2-60:2023 CMV,Household and similar electrical appliances - Safety - Part 2-60: Particular requirements for whirlpool baths and whirlpool spas,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-60:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-60:2023 CMV
IEC,IEC 60335-2-61:2024 CMV,Household and similar electrical appliances - Safety - Part 2-61: Particular requirements for thermal storage room heaters,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-61:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-61:2024 CMV
IEC,IEC 60335-2-64:2021 CMV,Household and similar electrical appliances - Safety - Part 2-64: Particular requirements for commercial electric kitchen machines,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-64:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-64:2021 CMV
IEC,IEC 60335-2-65:2023 CMV,Household and similar electrical appliances - Safety - Part 2-65: Particular requirements for air-cleaning appliances,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-65:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-65:2023 CMV
IEC,IEC 60335-2-73:2024 CMV,Household and similar electrical appliances - Safety - Part 2-73: Particular requirements for fixed immersion heaters,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-73:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-73:2024 CMV
IEC,IEC 60335-2-75:2024 CMV,Household and similar electrical appliances - Safety - Part 2-75: Particular requirements for commercial dispensing appliances and vending machines,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-75:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-75:2024 CMV
IEC,IEC 60335-2-80:2024 CMV,Household and similar electrical appliances - Safety - Part 2-80: Particular requirements for fans,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-80:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-80:2024 CMV
IEC,IEC 60335-2-81:2024 CMV,Household and similar electrical appliances - Safety - Part 2-81: Particular requirements for foot warmers and heating mats,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-81:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-81:2024 CMV
IEC,IEC 60335-2-82:2024 CMV,Household and similar electrical appliances - Safety - Part 2-82: Particular requirements for amusement machines and personal service machines,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-82:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-82:2024 CMV
IEC,IEC 60335-2-85:2022 CMV,Household and similar electrical appliances - Safety - Part 2-85: Particular requirements for fabric steamers,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-85:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-85:2022 CMV
IEC,IEC 60335-2-95:2023 CMV,Household and similar electrical appliances - Safety - Part 2-95: Particular requirements for drives for vertically moving garage doors for residential use,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-95:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-95:2023 CMV
IEC,IEC 60335-2-96:2024 CMV,Household and similar electrical appliances - Safety - Part 2-96: Particular requirements for flexible sheet heating elements for room heating,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-96:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-96:2024 CMV
IEC,IEC 60335-2-97:2023 CMV,"Household and similar electrical appliances - Safety - Part 2-97: Particular requirements for drives for shutters, awnings, blinds and similar equipment",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-97:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-97:2023 CMV
IEC,IEC 60335-2-101:2024 CMV,Household and similar electrical appliances - Safety - Part 2-101: Particular requirements for vaporizers,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-101:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-101:2024 CMV
IEC,IEC 60335-2-103:2023 CMV,"Household and similar electrical appliances - Safety - Part 2-103: Particular requirements for drives for gates, doors and windows",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-103:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-103:2023 CMV
IEC,IEC 60335-2-113:2025 CMV,Household and similar electrical appliances - Safety - Part 2-113: Particular requirements for beauty care appliances incorporating lasers and intense light sources,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-113:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-113:2025 CMV
IEC,IEC 60335-2-116:2025 CMV,Household and similar electrical appliances - Safety - Part 2-116: Particular requirements for furniture with electrically motorized parts,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-116:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-116:2025 CMV
IEC,IEC 60364-8-82:2022,Low-voltage electrical installations - Part 8-82: Functional aspects - Prosumer's low-voltage electrical installations,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60364-8-82:2022,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60364-8-82:2022
IEC,IEC 60384-2:2021,Fixed capacitors for use in electronic equipment - Part 2: Sectional specification - Fixed metallized polyethylene terephthalate film dielectric DC capacitors,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-2:2021,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-2:2021
IEC,IEC 60384-11:2019,Fixed capacitors for use in electronic equipment - Part 11: Sectional specification - Fixed polyethylene-terephthalate film dielectric metal foil DC capacitors,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-11:2019,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-11:2019
IEC,IEC 60384-13:2020,Fixed capacitors for use in electronic equipment - Part 13: Sectional specification - Fixed polypropylene film dielectric metal foil d.c. capacitors,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-13:2020,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-13:2020
IEC,IEC 60384-14:2023 CMV,Fixed capacitors for use in electronic equipment - Part 14: Sectional specification - Fixed capacitors for electromagnetic interference suppression and connection to the supply mains,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-14:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-14:2023 CMV
IEC,IEC 60384-19:2022,Fixed capacitors for use in electronic equipment - Part 19: Sectional specification: Fixed metallized polyethylene terephthalate film dielectric surface mount DC capacitors,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-19:2022,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-19:2022
IEC,IEC 60384-20:2023 RLV,Fixed capacitors for use in electronic equipment - Part 20: Sectional specification - Fixed metallized polyphenylene sulfide film dielectric surface mount DC capacitors,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-20:2023 RLV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-20:2023 RLV
IEC,IEC 60384-21:2024 CMV,"Fixed capacitors for use in electronic equipment - Part 21: Sectional specification - Fixed surface mount multilayer capacitors of ceramic dielectric, Class 1",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-21:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-21:2024 CMV
IEC,IEC 60384-22:2024 CMV,"Fixed capacitors for use in electronic equipment - Part 22: Sectional specification - Fixed surface mount multilayer capacitors of ceramic dielectric, Class 2",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-22:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-22:2024 CMV
IEC,IEC 60384-23:2023 RLV,Fixed capacitors for use in electronic equipment - Part 23: Sectional specification - Fixed metallized polyethylene naphthalate film dielectric surface mount DC capacitors,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-23:2023 RLV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-23:2023 RLV
IEC,IEC 60393-3:2023,Potentiometers for use in electronic equipment - Part 3: Sectional specification: Rotary precision potentiometers,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60393-3:2023,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60393-3:2023
IEC,IEC 60393-4:2023,Potentiometers for use in electronic equipment - Part 4: Sectional specification: Single-turn rotary power potentiometers,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60393-4:2023,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60393-4:2023
IEC,IEC 60437:2023 CMV,Radio interference test on high-voltage insulators,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60437:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60437:2023 CMV
IEC,IEC 60475:2022 CMV,Method of sampling insulating liquids,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60475:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60475:2022 CMV
IEC,IEC 60512-23-3:2018 RLV,Connectors for electrical and electronic equipment - Tests and measurements - Part 23-3: Screening and filtering tests - Test 23c: Shielding effectiveness of connectors and accessories - Line injection method,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60512-23-3:2018 RLV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60512-23-3:2018 RLV
