ASD Acronym,Designation,Title of Standard,Link
,ISO 10651-1:1993,Lung ventilators for medical use  Part 1: Requirements,https://www.iso.org/standard/18746.html
,ISO 10651-2:2004,Lung ventilators for medical use  Particular requirements for basic safety and essential performance  Part 2: Home care ventilators for ventilator-dependent patients,https://www.iso.org/standard/35973.html
,ISO 10651-3:1997,Lung ventilators for medical use  Part 3: Particular requirements for emergency and transport ventilators,https://www.iso.org/standard/21436.html
,ISO 10651-4:2023,Lung ventilators  Part 4: Particular requirements for user-powered resuscitators,https://www.iso.org/standard/77803.html
,ISO 10651-5:2006,Lung ventilators for medical use  Particular requirements for basic safety and essential performance  Part 5: Gas-powered emergency resuscitators,https://www.iso.org/standard/35975.html
,ISO 10651-6:2004,Lung ventilators for medical use  Particular requirements for basic safety and essential performance  Part 6: Home-care ventilatory support devices,https://www.iso.org/standard/35974.html
,ISO 11040-1:2015,Prefilled syringes  Part 1: Glass cylinders for dental local anaesthetic cartridges,https://www.iso.org/standard/67064.html
,ISO 11040-2:2011,Prefilled syringes  Part 2: Plunger stoppers for dental local anaesthetic cartridges,https://www.iso.org/standard/53947.html
,ISO 11040-3:2012,Prefilled syringes  Part 3: Seals for dental local anaesthetic cartridges,https://www.iso.org/standard/53948.html
,ISO 11117:2019,Gas cylinders  Valve protection caps and guards  Design construction and tests,https://www.iso.org/standard/69934.html
,ISO 11195:2018,Gas mixers for medical use  Stand-alone gas mixers,https://www.iso.org/standard/67242.html
,ISO 11196:1995 /Cor 1:1997,Anaesthetic gas monitors  Technical Corrigendum 1,https://www.iso.org/standard/28347.html
,ISO 11197:2019,Medical supply units,https://www.iso.org/standard/74384.html
,ISO 11499:2014,Dentistry  Single-use cartridges for local anaesthetics,https://www.iso.org/standard/61170.html
,ISO 11712:2023,Anaesthetic and respiratory equipment  Supralaryngeal airways and connectors,https://www.iso.org/standard/81539.html
,ISO 11990-1:2011,Lasers and laser-related equipment  Determination of laser resistance of tracheal tubes  Part 1: Tracheal tube shaft,https://www.iso.org/standard/45685.html
,ISO 11990-2:2010,Lasers and laser-related equipment  Determination of laser resistance of tracheal tubes  Part 2: Tracheal tube cuffs,https://www.iso.org/standard/45686.html
,ISO 11990:2018,Lasers and laser-related equipment  Determination of laser resistance of tracheal tube shaft and tracheal tube cuffs,https://www.iso.org/standard/69226.html
,ISO 14408:2016,Tracheal tubes designed for laser surgery  Requirements for marking and accompanying information,https://www.iso.org/standard/63262.html
,ISO 15001:2010,Anaesthetic and respiratory equipment  Compatibility with oxygen,https://www.iso.org/standard/44250.html
,ISO 15002:2023,Flow control devices for connection to a medical gas supply system,https://www.iso.org/standard/75973.html
,ISO 16571:2024,Systems for evacuation of plume generated by medical devices,https://www.iso.org/standard/83065.html
,ISO 16628:2022,Anaesthetic and respiratory equipment  Tracheobronchial tubes,https://www.iso.org/standard/80056.html
,ISO/TS 16628:2003,Tracheobronchial tubes  Recommendations for size designation and labelling,https://www.iso.org/standard/31034.html
,ISO 17256:2024,Anaesthetic and respiratory equipment  Respiratory therapy tubing and connectors,https://www.iso.org/standard/84739.html
,ISO 17510-1:2007,Sleep apnoea breathing therapy  Part 1: Sleep apnoea breathing therapy equipment,https://www.iso.org/standard/41615.html
,ISO 17510-2:2007,Sleep apnoea breathing therapy  Part 2: Masks and application accessories,https://www.iso.org/standard/41616.html
,ISO 17510:2015,Medical devices  Sleep apnoea breathing therapy  Masks and application accessories,https://www.iso.org/standard/64910.html
,ISO 18082:2014 /Amd 1:2017,Anaesthetic and respiratory equipment  Dimensions of non-interchangeable screw-threaded (NIST) low-pressure connectors for medical gases  Amendment 1,https://www.iso.org/standard/68681.html
,ISO 18190:2016,Anaesthetic and respiratory equipment  General requirements for airways and related equipment,https://www.iso.org/standard/61728.html
,ISO 18562-1:2024,Biocompatibility evaluation of breathing gas pathways in healthcare applications  Part 1: Evaluation and testing within a risk management process,https://www.iso.org/standard/83409.html
,ISO 18562-2:2024,Biocompatibility evaluation of breathing gas pathways in healthcare applications  Part 2: Tests for emissions of particulate matter,https://www.iso.org/standard/83410.html
,ISO 18562-3:2024,Biocompatibility evaluation of breathing gas pathways in healthcare applications  Part 3: Tests for emissions of volatile organic substances,https://www.iso.org/standard/83411.html
,ISO 18562-4:2024,Biocompatibility evaluation of breathing gas pathways in healthcare applications  Part 4: Tests for leachables in condensate,https://www.iso.org/standard/82898.html
,ISO 18778:2022,Respiratory equipment  Particular requirements for basic safety and essential performance of infant cardiorespiratory monitors,https://www.iso.org/standard/79357.html
,ISO 18779:2005,Medical devices for conserving oxygen and oxygen mixtures  Particular requirements,https://www.iso.org/standard/38872.html
,ISO 18835:2015,Inhalational anaesthesia systems  Draw-over anaesthetic systems,https://www.iso.org/standard/62046.html
,ISO/TS 18835:2004,Inhalational anaesthesia systems  Draw-over vaporizers and associated equipment,https://www.iso.org/standard/39166.html
,ISO 19211:2024,Anaesthetic and respiratory equipment  Fire-activated oxygen shut-off devices for use during oxygen therapy,https://www.iso.org/standard/84738.html
,ISO 19223:2019,Lung ventilators and related equipment  Vocabulary and semantics,https://www.iso.org/standard/51164.html
,ISO 20072:2009,Aerosol drug delivery device design verification  Requirements and test methods,https://www.iso.org/standard/41989.html
,ISO 20789:2018,Anaesthetic and respiratory equipment  Passive humidifiers,https://www.iso.org/standard/69104.html
,ISO 21647:2004 /Cor 1:2005,Medical electrical equipment  Particular requirements for the basic safety and essential performance of respiratory gas monitors  Technical Corrigendum 1,https://www.iso.org/standard/42637.html
,ISO 21917:2021,Anaesthetic and respiratory equipment  Voice prostheses,https://www.iso.org/standard/72180.html
,ISO/TR 21954:2018,Guidance on the selection of the appropriate means of ventilation based on the intended patient use environment and operator,https://www.iso.org/standard/72287.html
,ISO 21969:2009,High-pressure flexible connections for use with medical gas systems,https://www.iso.org/standard/52967.html
,ISO 23328-1:2003,Breathing system filters for anaesthetic and respiratory use  Part 1: Salt test method to assess filtration performance,https://www.iso.org/standard/35330.html
,ISO 23328-2:2002,Breathing system filters for anaesthetic and respiratory use  Part 2: Non-filtration aspects,https://www.iso.org/standard/35329.html
,ISO 23368:2022,Anaesthetic and respiratory equipment  Low-flow nasal cannulae for oxygen therapy,https://www.iso.org/standard/75350.html
,ISO 23371:2022,Anaesthetic and respiratory equipment  Cuff pressure indication control and regulation devices,https://www.iso.org/standard/75351.html
,ISO 23372:2022,Anaesthetic and respiratory equipment  Air entrainment devices,https://www.iso.org/standard/75352.html
,ISO 23747:2015,Anaesthetic and respiratory equipment  Peak expiratory flow meters for the assessment of pulmonary function in spontaneously breathing humans,https://www.iso.org/standard/64926.html
,ISO 26782:2009 /Cor 1:2009,Anaesthetic and respiratory equipment  Spirometers intended for the measurement of time forced expired volumes in humans  Technical Corrigendum 1,https://www.iso.org/standard/55453.html
,ISO 26825:2020,Anaesthetic and respiratory equipment  User-applied labels for syringes containing drugs used during anaesthesia  Colours design and performance,https://www.iso.org/standard/76678.html
,ISO 27427:2023,Anaesthetic and respiratory equipment  Nebulizing systems and components,https://www.iso.org/standard/78542.html
,IEC 60601-1-10:2007 /Amd 2:2020,Medical electrical equipment  Part 1-10: General requirements for basic safety and essential performance  Collateral standard: Requirements for the development of physiologic closed-loop controllers  Amendment 2,https://www.iso.org/standard/72633.html
,IEC 60601-1-11:2015 /Amd 1:2020,Medical electrical equipment  Part 1-11: General requirements for basic safety and essential performance  Collateral standard: Requirements for medical electrical equipment and medical electrical systems used in the home healthcare environment  Amendment 1,https://www.iso.org/standard/72632.html
,IEC 60601-1-12:2014 /Amd 1:2020,Medical Electrical Equipment  Part 1-12: General requirements for basic safety and essential performance - Collateral Standard: Requirements for medical electrical equipment and medical electrical systems used in the emergency medical services environment  Amendment 1,https://www.iso.org/standard/78215.html
,IEC 60601-1-8:2006 /Amd 2:2020,Medical electrical equipment  Part 1-8: General requirements for basic safety and essential performance   Collateral standard: General requirements tests and guidance for alarm systems in medical electrical equipment and medical electrical systems  Amendment 2,https://www.iso.org/standard/72634.html
,IEC 60601-2-12:2001,Medical electrical equipment  Part 2-12: Particular requirements for the safety of lung ventilators  Critical care ventilators,https://www.iso.org/standard/23914.html
,IEC 60601-2-13:2003 /Amd 1:2006,Medical electrical equipment  Part 2-13: Particular requirements for the safety and essential performance of anaesthetic systems  Amendment 1,https://www.iso.org/standard/43235.html
,ISO 80369-1:2018,Small-bore connectors for liquids and gases in healthcare applications  Part 1: General requirements,https://www.iso.org/standard/64419.html
,ISO 80369-2:2024,Small-bore connectors for liquids and gases in healthcare applications  Part 2: Connectors for respiratory applications,https://www.iso.org/standard/79601.html
,ISO 80601-2-90:2021,Medical electrical equipment  Part 2-90: Particular requirements for basic safety and essential performance of respiratory high-flow therapy equipment,https://www.iso.org/standard/80858.html
,IEC 80601-2-30:2018,Medical electrical equipment  Part 2-30: Particular requirements for basic safety and essential performance of automated non-invasive sphygmomanometers,https://www.iso.org/standard/70653.html
,ISO 80601-2-12:2023,Medical electrical equipment  Part 2-12: Particular requirements for basic safety and essential performance of critical care ventilators,https://www.iso.org/standard/82707.html
,ISO 80601-2-13:2022 /AWI Amd 1,Medical electrical equipment  Part 2-13: Particular requirements for basic safety and essential performance of an anaesthetic workstation  Amendment 1,https://www.iso.org/standard/89177.html
,ISO 80601-2-55:2018 /Amd 1:2023,Medical electrical equipment  Part 2-55: Particular requirements for the basic safety and essential performance of respiratory gas monitors  Amendment 1,https://www.iso.org/standard/83477.html
,ISO 80601-2-61:2017,Medical electrical equipment  Part 2-61: Particular requirements for basic safety and essential performance of pulse oximeter equipment,https://www.iso.org/standard/67963.html
,ISO 80601-2-67:2020,Medical electrical equipment  Part 2-67: Particular requirements for basic safety and essential performance of oxygen-conserving equipment,https://www.iso.org/standard/75945.html
,ISO 80601-2-69:2020,Medical electrical equipment  Part 2-69: Particular requirements for the basic safety and essential performance of oxygen concentrator equipment,https://www.iso.org/standard/75946.html
,ISO 80601-2-70:2020,Medical electrical equipment  Part 2-70: Particular requirements for the basic safety and essential performance of sleep apnoea breathing therapy equipment,https://www.iso.org/standard/75947.html
,ISO 80601-2-72:2023,Medical electrical equipment  Part 2-72: Particular requirements for basic safety and essential performance of home healthcare environment ventilators for ventilator-dependent patients,https://www.iso.org/standard/83464.html
,ISO 80601-2-74:2021,Medical electrical equipment  Part 2-74: Particular requirements for basic safety and essential performance of respiratory humidifying equipment,https://www.iso.org/standard/81613.html
,ISO 80601-2-79:2024,Medical electrical equipment  Part 2-79: Particular requirements for basic safety and essential performance of ventilatory support equipment for ventilatory impairment,https://www.iso.org/standard/83465.html
,ISO 80601-2-80:2024,Medical electrical equipment  Part 2-80: Particular requirements for basic safety and essential performance of ventilatory support equipment for ventilatory insufficiency,https://www.iso.org/standard/83466.html
,ISO 80601-2-84:2023,Medical electrical equipment  Part 2-84: Particular requirements for the basic safety and essential performance of ventilators for the emergency medical services environment,https://www.iso.org/standard/83438.html
,ISO 80601-2-85:2021,Medical electrical equipment  Part 2-85: Particular requirements for the basic safety and essential performance of cerebral tissue oximeter equipment,https://www.iso.org/standard/72442.html
,ISO 80601-2-87:2021,Medical electrical equipment  Part 2-87: Particular requirements for basic safety and essential performance of high-frequency ventilators,https://www.iso.org/standard/74486.html
,ISO 81060-1:2007,Non-invasive sphygmomanometers  Part 1: Requirements and test methods for non-automated measurement type,https://www.iso.org/standard/42914.html
,ISO 81060-2:2018 /Amd 2:2024,Non-invasive sphygmomanometers  Part 2: Clinical investigation of intermittent automated measurement type  Amendment 2,https://www.iso.org/standard/83598.html
,ISO 81060-3:2022,Non-invasive sphygmomanometers  Part 3: Clinical investigation of continuous automated measurement type,https://www.iso.org/standard/71161.html
,ISO/TS 81060-5:2020,Non-invasive sphygmomanometers  Part 5: Requirements for the repeatability and reproducibility of NIBP simulators for testing of automated non-invasive sphygmomanometers,https://www.iso.org/standard/74256.html
,ISO 1135-1:1987,Transfusion equipment for medical use  Part 1: Glass transfusion bottles closures and caps,https://www.iso.org/standard/5671.html
,ISO 1135-3:2016,Transfusion equipment for medical use  Part 3: Blood-taking sets for single use,https://www.iso.org/standard/66814.html
,ISO 1135-4:2015,Transfusion equipment for medical use  Part 4: Transfusion sets for single use gravity feed,https://www.iso.org/standard/63425.html
,ISO 1135-5:2015,Transfusion equipment for medical use  Part 5: Transfusion sets for single use with pressure infusion apparatus,https://www.iso.org/standard/63426.html
,ISO 1135:1977,Transfusion equipment for medical use,https://www.iso.org/standard/5669.html
,ISO 3825:1977,Glass transfusion bottles for medical use  Chemical resistance,https://www.iso.org/standard/9375.html
,ISO 3826-1:2019 /Amd 1:2023,Plastics collapsible containers for human blood and blood components  Part 1: Conventional containers  Amendment 1,https://www.iso.org/standard/84310.html
,ISO 3826-2:2008,Plastics collapsible containers for human blood and blood components  Part 2: Graphical symbols for use on labels and instruction leaflets,https://www.iso.org/standard/45611.html
,ISO 3826-3:2006,Plastics collapsible containers for human blood and blood components  Part 3: Blood bag systems with integrated features,https://www.iso.org/standard/38795.html
,ISO 3826-4:2015,Plastics collapsible containers for human blood and blood components  Part 4: Aphaeresis blood bag systems with integrated features,https://www.iso.org/standard/62463.html
,ISO 3826:1993,Plastics collapsible containers for human blood and blood components,https://www.iso.org/standard/9376.html
,ISO 4822:1981,Single use blood specimen containers up to 25 ml capacity,https://www.iso.org/standard/10799.html
,ISO 6009:2016,Hypodermic needles for single use  Colour coding for identification,https://www.iso.org/standard/63277.html
,ISO 6710:2017,Single-use containers for human venous blood specimen collection,https://www.iso.org/standard/69659.html
,ISO 7864:2016,Sterile hypodermic needles for single use  Requirements and test methods,https://www.iso.org/standard/60481.html
,ISO 7885:2010,Dentistry  Sterile injection needles for single use,https://www.iso.org/standard/45606.html
,ISO 7886:1984,Sterile hypodermic syringes for single use,https://www.iso.org/standard/14834.html
,ISO 8362-1:2018,Injection containers and accessories  Part 1: Injection vials made of glass tubing,https://www.iso.org/standard/74398.html
,ISO 8362-2:2024,Injection containers and accessories  Part 2: Closures for injection vials,https://www.iso.org/standard/87251.html
,ISO 8362-3:2001,Injection containers and accessories  Part 3: Aluminium caps for injection vials,https://www.iso.org/standard/33804.html
,ISO 8362-4:2011,Injection containers and accessories  Part 4: Injection vials made of moulded glass,https://www.iso.org/standard/57745.html
,ISO 8362-5:2016,Injection containers and accessories  Part 5: Freeze drying closures for injection vials,https://www.iso.org/standard/65448.html
,ISO 8362-6:2010,Injection containers and accessories  Part 6: Caps made of aluminium-plastics combinations for injection vials,https://www.iso.org/standard/52806.html
,ISO 8362-7:2006,Injection containers and accessories  Part 7: Injection caps made of aluminium-plastics combinations without overlapping plastics part,https://www.iso.org/standard/43551.html
,ISO 8536-1:2011,Infusion equipment for medical use  Part 1: Infusion glass bottles,https://www.iso.org/standard/56076.html
,ISO 8536-2:2023,Infusion equipment for medical use  Part 2: Closures for infusion bottles,https://www.iso.org/standard/82223.html
,ISO 8536-3:2009 /Amd 1:2022,Infusion equipment for medical use  Part 3: Aluminium caps for infusion bottles  Amendment 1,https://www.iso.org/standard/82922.html
,ISO 8536-4:2019,Infusion equipment for medical use  Part 4: Infusion sets for single use gravity feed,https://www.iso.org/standard/70730.html
,ISO 8536-5:2004,Infusion equipment for medical use  Part 5: Burette infusion sets for single use gravity feed,https://www.iso.org/standard/20921.html
