ASD Acronym,Designation,Title of Standard,Project Action,Date SA PINS,Date SA BSR8,Date Final Action,PR status,CON_id::Email,__pk_PSA_id
AAFS,ANSI/ASB Best Practice Recommendation 010-2018,Forensic Anthropology in Disaster Victim Identification: Best Practice Recommendations for the Medicolegal Authority,(new standard),10/14/2016,12/22/2017,10/04/2018,Approved,tambrosius@aafs.org,172323
AAFS,ANSI/ASB BPR 008-2021,Mass Fatality Scene Processing: Best Practice Recommendations for the Medicolegal Authority,(new standard),10/14/2016,02/05/2021,08/27/2021,Approved,tambrosius@aafs.org,172325
AAFS,ANSI/ASB BPR 021-2019,Best Practices for the Preparation of Test Impressions from Footwear and Tires,(new standard),02/10/2017,11/09/2018,09/16/2019,Approved,tambrosius@aafs.org,173136
AAFS,ANSI/ASB BPR 049-2020,Best Practice Recommendation for Lifting of Footwear and Tire Impression Evidence,(new standard),06/21/2019,11/15/2019,08/07/2020,Approved,tambrosius@aafs.org,180528
AAFS,ANSI/ASB BPR 050-2021,Best Practice Recommendation for Photographic Documentation of Footwear and Tire Impression Evidence,(new standard),06/21/2019,09/18/2020,08/05/2021,Approved,tambrosius@aafs.org,180520
AAFS,ANSI/ASB BPR 060-2021,Guidelines for Barrel and Overall Length Measurements for Firearms,(new standard),10/05/2018,04/30/2021,12/15/2021,Approved,tambrosius@aafs.org,178597
AAFS,ANSI/ASB BPR 068-2020,Safe Handling of Firearms and Ammunition,(new standard),05/25/2018,05/24/2019,08/27/2020,Approved,tambrosius@aafs.org,177366
AAFS,ANSI/ASB BPR 089-2020,Best Practice Recommendation for Facial Approximation in Forensic Anthropology,(new standard),11/02/2018,08/30/2019,06/30/2020,Approved,tambrosius@aafs.org,178832
AAFS,ANSI/ASB BPR 094-2021,Postmortem Impression Recovery: Guidance and Best Practices for Disaster Victim Identification,(new standard),08/03/2018,05/29/2020,07/26/2021,Approved,tambrosius@aafs.org,178114
AAFS,ANSI/ASB BPR 107-2022,Best Practice Recommendation for Measuring Trigger Pull of a Firearm and Estimating Its Uncertainty,(new standard),12/21/2018,04/01/2022,10/04/2022,Approved,tambrosius@aafs.org,179229
AAFS,ANSI/ASB BPR 108-2021,Forensic Odontology in Disaster Victim Identification: Best Practice Recommendations for the Medicolegal Authority,(new standard),10/19/2018,01/08/2021,12/09/2021,Approved,tambrosius@aafs.org,178693
AAFS,ANSI/ASB BPR 114-2022,Best Practice Recommendations for Internal Validation of Software used in Forensic DNA Laboratories,(new standard),08/02/2019,09/10/2021,10/04/2022,Approved,tambrosius@aafs.org,181342
AAFS,ANSI/ASB BPR 122-2024,Best Practice Recommendation for Performing Alcohol Calculations in Forensic Toxicology,(new standard),08/25/2023,02/23/2024,06/11/2024,Approved,tambrosius@aafs.org,180454
AAFS,ANSI/ASB BPR 126-2020,Best Practice Recommendation for Casting of Footwear and Tire Impression Evidence,(new standard),08/02/2019,11/29/2019,10/29/2020,Approved,tambrosius@aafs.org,181341
AAFS,ANSI/ASB BPR 142-2022,Best Practice Recommendations for the Resolution of Conflicts in Friction Ridge Examination,(new standard),05/29/2020,03/25/2022,12/05/2022,Approved,tambrosius@aafs.org,183398
AAFS,ANSI/ASB BPR 144 Addendum-2024,Addendum to Best Practice Recommendations for the Verification Component in Friction Ridge Examination,(revision of ANSI/ASB BPR 144-2022),08/25/2023,11/17/2023,06/11/2024,Approved,tambrosius@aafs.org,192971
AAFS,ANSI/ASB BPR 156-2023,Best Practices for Specimen Collection and Preservation for Forensic Toxicology,(new standard),08/21/2020,08/19/2022,06/16/2023,Approved,tambrosius@aafs.org,184246
AAFS,ANSI/ASB BPR 160-2023,Best Practice Recommendation for Initial Response at Scenes by Law Enforcement Officers,(new standard),02/05/2021,06/03/2022,01/04/2024,Approved,tambrosius@aafs.org,185353
AAFS,ANSI/ASB BPR 165-2024,Best Practice Recommendation for Analysis of Friction Ridge Impressions,(new standard),05/14/2021,08/05/2022,01/25/2024,Approved,tambrosius@aafs.org,186344
AAFS,ANSI/ASB BPR 166-2024,Best Practice Recommendation for Comparison and Evaluation of Friction Ridge Impressions,(new standard),05/14/2021,08/05/2022,01/25/2024,Approved,tambrosius@aafs.org,186343
AAFS,ANSI/ASB BPR 171-2024,Best Practice Recommendations for the Management and Use of Quality Assurance DNA Elimination Databases in Forensic DNA Analysis,(new standard),05/28/2021,03/17/2023,02/08/2024,Approved,tambrosius@aafs.org,186434
AAFS,ANSI/ASB Std 006-2019,Best Practice Recommendation for DNA Analysis for Human Identification in Mass Fatality Incidents,(new standard),10/14/2016,06/29/2018,02/05/2019,Approved,tambrosius@aafs.org,172327
AAFS,ANSI/ASB Std 007-2018,Postmortem Impression Submission Strategy for Comprehensive Searches of Essential Automated Fingerprint Identification System Databases,(new standard),10/14/2016,05/26/2017,05/17/2018,Approved,tambrosius@aafs.org,172326
AAFS,ANSI/ASB Std 009-2019,Examination Of Human Remains By Forensic Pathologists In The Disaster Victim Identification Context,(new standard),10/14/2016,12/15/2017,02/05/2019,Approved,tambrosius@aafs.org,172324
AAFS,ANSI/ASB Std 011-2022,Scope of Expertise in Forensic Document Examination,(new standard),10/28/2016,10/26/2018,08/09/2022,Approved,tambrosius@aafs.org,172403
AAFS,ANSI/ASB Std 014-2024,Standard for Friction Ridge Examination Training Program,(new standard),12/02/2016,03/24/2023,02/15/2024,Approved,tambrosius@aafs.org,172736
AAFS,ANSI/ASB Std 015-2024,Standard for Examining Friction Ridge Impressions,(new standard),12/02/2016,12/16/2022,02/15/2024,Approved,tambrosius@aafs.org,172737
AAFS,ANSI/ASB Std 017-2018,Standard Practices for Measurement Traceability in Forensic Toxicology,(new standard),12/02/2016,12/08/2017,06/13/2018,Approved,tambrosius@aafs.org,172735
AAFS,ANSI/ASB Std 018-2020,Validation Standards for Probabilistic Genotyping Systems,(new standard),12/02/2016,11/15/2019,07/15/2020,Approved,tambrosius@aafs.org,172743
AAFS,ANSI/ASB Std 019-2019,Wildlife Forensics General Standards,(new standard),12/09/2016,10/12/2018,05/03/2019,Approved,tambrosius@aafs.org,172764
AAFS,ANSI/ASB Std 020-2018,Standards for Validation Studies of DNA Mixtures for the  Development and Verification of a Laboratory Mixture Interpretation Protocol,(new standard),12/23/2016,12/08/2017,09/11/2018,Approved,tambrosius@aafs.org,172841
AAFS,ANSI/ASB Std 022-2019,Standard for Forensic DNA Analysis Training Programs,(new standard),03/17/2017,10/05/2018,07/26/2019,Approved,tambrosius@aafs.org,173412
AAFS,ANSI/ASB Std 023-2020,Standard for Training in Forensic DNA Isolation and Purification Methods,(new standard),03/17/2017,08/16/2019,06/22/2020,Approved,tambrosius@aafs.org,173410
AAFS,ANSI/ASB Std 024-2021,Standard for Training and Certification of Canine Detection of Humans: Location Check Using Prescented Canines,(new standard),03/17/2017,03/19/2021,12/09/2021,Approved,tambrosius@aafs.org,173408
AAFS,ANSI/ASB Std 026-2021,Standard for Training and Certification of Canine Detection of Humans: An Aged Trail Using Pre-scented Canines,(new standard),03/17/2017,03/19/2021,12/09/2021,Approved,tambrosius@aafs.org,173407
AAFS,ANSI/ASB Std 027-2021,Standard for Training and Certification of Canine Detection of Humans: Patrol Canine Team,(new standard),02/09/2018,03/19/2021,12/13/2021,Approved,tambrosius@aafs.org,173406
AAFS,ANSI/ASB Std 028-2019,Wildlife Forensics Morphology Standard,(new standard),06/02/2017,10/12/2018,05/03/2019,Approved,tambrosius@aafs.org,174152
AAFS,ANSI/ASB Std 029-2019,Report Writing in Wildlife Forensics: Morphology and Genetics,(new standard),06/02/2017,10/12/2018,05/03/2019,Approved,tambrosius@aafs.org,174151
AAFS,ANSI/ASB Std 030-2019,Standards for a Quality Assurance Program in Bloodstain Pattern Analysis,(new standard),03/23/2018,08/23/2019,12/16/2019,Approved,tambrosius@aafs.org,176879
AAFS,ANSI/ASB Std 031-2020,Guidelines for Report Writing in Bloodstain Pattern Analysis,(new standard),03/23/2018,09/27/2019,06/24/2020,Approved,tambrosius@aafs.org,176878
AAFS,ANSI/ASB Std 032-2020,Standards for a Bloodstain Pattern Analyst™s Training Program,(new standard),04/27/2018,08/09/2019,04/21/2020,Approved,tambrosius@aafs.org,177127
AAFS,ANSI/ASB Std 035-2020,Standard for the Examination of Documents for Alterations,(new standard),06/23/2017,12/07/2018,09/18/2020,Approved,tambrosius@aafs.org,174293
AAFS,ANSI/ASB Std 036-2019,Standard Practices for Method Validation in Forensic Toxicology,(new standard),06/09/2017,09/21/2018,10/29/2019,Approved,tambrosius@aafs.org,174253
AAFS,ANSI/ASB Std 037-2019,Guidelines for Opinions and Testimony in Forensic Toxicology,(new standard),06/09/2017,06/22/2018,01/18/2019,Approved,tambrosius@aafs.org,174252
AAFS,ANSI/ASB Std 038-2020,Standards for Internal Validation of Forensic DNA Testing Methods,(new standard),07/14/2017,03/27/2020,08/27/2020,Approved,tambrosius@aafs.org,174490
AAFS,ANSI/ASB Std 040-2019,Standards for Forensic DNA Interpretation and Comparison Protocols,(new standard),07/14/2017,10/05/2018,09/26/2019,Approved,tambrosius@aafs.org,174488
AAFS,ANSI/ASB Std 044-2019,Standard for the Examination of Documents for Indentations,(new standard),02/23/2018,10/26/2018,12/16/2019,Approved,tambrosius@aafs.org,176558
AAFS,ANSI/ASB Std 045-2019,Standard for Stature Estimation in Forensic Anthropology,(new standard),08/31/2018,10/26/2018,02/08/2019,Approved,tambrosius@aafs.org,175828
AAFS,ANSI/ASB Std 046-2019,Wildlife Forensics Validation Standards-- STR Analysis,(new standard),07/28/2017,08/10/2018,05/03/2019,Approved,tambrosius@aafs.org,174572
AAFS,ANSI/ASB Std 047-2019,Wildlife Forensics Validation Standard  Validating New Primers for Sequencing,(new standard),07/28/2017,08/10/2018,05/03/2019,Approved,tambrosius@aafs.org,174571
AAFS,ANSI/ASB Std 048-2019,Wildlife Forensic DNA Standard Procedures,(new standard),07/28/2017,08/10/2018,05/03/2019,Approved,tambrosius@aafs.org,174570
AAFS,ANSI/ASB Std 053-2020,Standard for Report Content in Forensic Toxicology,(new standard),05/18/2018,01/24/2020,08/17/2020,Approved,tambrosius@aafs.org,177342
AAFS,ANSI/ASB Std 054-2021,Standard for a Quality Control Program in Forensic Toxicology Laboratories,(new standard),05/18/2018,04/30/2021,09/24/2021,Approved,tambrosius@aafs.org,177341
AAFS,ANSI/ASB Std 055-2024,Standard for Breath Alcohol Measuring Instrument Calibration,(new standard),02/01/2019,07/07/2023,05/07/2024,Approved,tambrosius@aafs.org,179435
AAFS,ANSI/ASB Std 061-2021,Firearms and Toolmarks 3D Measurement Systems and Measurement Quality Control,(new standard),05/25/2018,11/27/2020,10/15/2021,Approved,tambrosius@aafs.org,177351
AAFS,ANSI/ASB Std 062-2021,Standard for Topography Comparison Software for Firearm and Toolmark Analysis,(new standard),10/19/2018,03/27/2020,10/15/2021,Approved,tambrosius@aafs.org,178694
AAFS,ANSI/ASB Std 063-2021,Implementation of 3D Technologies in Forensic Firearm and Toolmark Comparison Laboratories.,(new standard),07/27/2018,03/27/2020,10/15/2021,Approved,tambrosius@aafs.org,178054
AAFS,ANSI/ASB Std 070-2022,Standard for Examination of Handwritten Items,(new standard),05/18/2018,02/18/2022,10/04/2022,Approved,tambrosius@aafs.org,177340
AAFS,ANSI/ASB Std 072-2019,Standards for the Validation of Procedures in Bloodstain Pattern Analysis,(new standard),04/06/2018,08/10/2018,05/03/2019,Approved,tambrosius@aafs.org,177034
AAFS,ANSI/ASB Std 077-2020,Standard for the Developmental and Internal Validation of Forensic Serological Methods,(new standard),08/24/2018,02/07/2020,09/16/2020,Approved,tambrosius@aafs.org,178291
AAFS,ANSI/ASB Std 085-2021,"Standard for Detection Canine Selection, Kenneling, and Healthcare",(new standard),04/27/2018,06/04/2021,09/24/2021,Approved,tambrosius@aafs.org,177125
AAFS,ANSI/ASB Std 088-2020,"General Guidelines for Training, Certification, and Documentation of Canine Detection Disciplines",(new standard),05/11/2018,07/12/2019,02/13/2020,Approved,tambrosius@aafs.org,177266
AAFS,ANSI/ASB Std 090-2019,Standard for Sex Estimation in Forensic Anthropology,(new standard),08/31/2018,12/14/2018,12/16/2019,Approved,tambrosius@aafs.org,178381
AAFS,ANSI/ASB Std 092-2021,Standard for Training and Certification of Canine Detection of Explosives,(new standard),05/10/2019,06/04/2021,12/14/2021,Approved,tambrosius@aafs.org,180144
AAFS,ANSI/ASB STD 093-2020,Standard Test Method for the Examination and Testing of Firearms,(new standard),07/27/2018,03/20/2020,11/17/2020,Approved,tambrosius@aafs.org,178047
AAFS,ANSI/ASB Std 095-2020,Standard for Minimum Qualifications and Training for a Footwear/Tire Forensic Science Service Provider.,(new standard),07/20/2018,09/06/2019,08/07/2020,Approved,tambrosius@aafs.org,177771
AAFS,ANSI/ASB STD 096-2022,Standard Method for the Examination and Documentation of Ammunition and Ammunition Components,(new standard),12/20/2019,08/06/2021,02/04/2022,Approved,tambrosius@aafs.org,182160
AAFS,ANSI/ASB Std 099-2020,Standard for Footwear/Tire Examination Proficiency Testing Program,(new standard),08/31/2018,08/02/2019,08/07/2020,Approved,tambrosius@aafs.org,178380
AAFS,ANSI/ASB Std 105-2021,Minimum Education Requirements for Firearm and Toolmark Examiner Trainees,(new standard),11/09/2018,08/30/2019,09/17/2021,Approved,tambrosius@aafs.org,178865
AAFS,ANSI/ASB Std 106-2020,Wildlife Forensic-Protein Serology Method for Taxonomic Identification.,(new standard),09/21/2018,06/14/2019,01/06/2020,Approved,tambrosius@aafs.org,178551
AAFS,ANSI/ASB Std 110-2020,Standard for Training in Forensic Serological Methods,(new standard),12/14/2018,02/07/2020,08/27/2020,Approved,tambrosius@aafs.org,179174
AAFS,ANSI/ASB Std 115-2020,"Standard for Training in Forensic Short Tandem Repeat Typing Methods using Amplification, DNA Separation, and Allele Detection.",(new standard),04/12/2019,08/16/2019,08/27/2020,Approved,tambrosius@aafs.org,179959
AAFS,ANSI/ASB Std 116-2020,Standard for Training in Forensic DNA Quantification Methods.,(new standard),05/31/2019,02/07/2020,08/27/2020,Approved,tambrosius@aafs.org,180384
AAFS,ANSI/ASB STD 117-2020,Standard for the Examination of Stamp Impressions and Stamping Devices,(new standard),04/26/2019,02/07/2020,08/27/2020,Approved,tambrosius@aafs.org,180019
AAFS,ANSI/ASB Std 119-2021,Standard for the Analytical Scope and Sensitivity of Forensic Toxicology Testing for Medicolegal Death Investigations.,(new standard),06/14/2019,12/18/2020,08/05/2021,Approved,tambrosius@aafs.org,180456
AAFS,ANSI/ASB Std 120-2021,Standard for the Analytical Scope and Sensitivity of Forensic Toxicological Testing of Blood in Impaired Driving Investigations.,(new standard),06/14/2019,07/24/2020,07/28/2021,Approved,tambrosius@aafs.org,180455
AAFS,ANSI/ASB Std 121-2021,Standard for the Analytical Scope and Sensitivity of Forensic Toxicological Urine Testing of Urine in Drug-Facilitated Crime Investigations.,(new standard),06/14/2019,03/19/2021,09/20/2021,Approved,tambrosius@aafs.org,180453
AAFS,ANSI/ASB Std 123-2024,Standard for Routine Internal Evaluation of a Laboratorys DNA Interpretation and Comparison Protocol,(new standard),08/02/2019,08/19/2022,01/05/2024,Approved,tambrosius@aafs.org,181343
AAFS,ANSI/ASB Std 125-2021,Organizational and Foundational Standard for Medicolegal Death Investigation,(new standard),08/02/2019,09/18/2020,12/15/2021,Approved,tambrosius@aafs.org,181344
AAFS,ANSI/ASB Std 127-2022,Standard for the Preservation and Examination of Charred Documents,(new standard),02/28/2020,01/07/2022,10/04/2022,Approved,tambrosius@aafs.org,182611
AAFS,ANSI/ASB Std 128-2022,Standard for the Preservation and Examination of Liquid Soaked Documents,(new standard),02/28/2020,01/07/2022,10/04/2022,Approved,tambrosius@aafs.org,182612
AAFS,ANSI/ASB Std 130-2021,Standard for Training in Forensic DNA Amplification Methods for Subsequent Capillary Electrophoresis Sequencing,(new standard),09/27/2019,09/11/2020,05/06/2021,Approved,tambrosius@aafs.org,181646
AAFS,ANSI/ASB Std 131-2021,Standard for Training in Forensic DNA Sequencing using Capillary Electrophoresis,(new standard),09/27/2019,09/11/2020,08/05/2021,Approved,tambrosius@aafs.org,181645
AAFS,ANSI/ASB Std 132-2023,Standard for Population Affinity Estimation in Forensic Anthropology,(new standard),10/11/2019,07/29/2022,07/06/2023,Approved,tambrosius@aafs.org,181802
AAFS,ANSI/ASB Std 133-2024,Standard for Age Estimation in Forensic Anthropology,(new standard),10/11/2019,03/31/2023,05/07/2024,Approved,tambrosius@aafs.org,181801
AAFS,ANSI/ASB Std 134-2021,Standard for Analyzing Pathological Conditions and Anomalies in Forensic Anthropology.,(new standard),11/15/2019,10/02/2020,05/06/2021,Approved,tambrosius@aafs.org,182036
AAFS,ANSI/ASB Std 135-2023,Scene Detection and Processing in Forensic Anthropology,(new standard),10/11/2019,10/07/2022,05/15/2023,Approved,tambrosius@aafs.org,181800
AAFS,ANSI/ASB Std 137-2023,Standard for Examination and Documentation of Footwear and Tire Impression Evidence,(new standard),11/01/2019,02/11/2022,05/25/2023,Approved,tambrosius@aafs.org,181913
AAFS,ANSI/ASB Std 138-2022,Standard for Collection of Known DNA Samples from Domestic Mammals,(new standard),10/25/2019,11/12/2021,05/04/2022,Approved,tambrosius@aafs.org,181864
AAFS,ANSI/ASB Std 139-2024,Reporting DNA Conclusions,(new standard),12/06/2019,03/17/2023,02/13/2024,Approved,tambrosius@aafs.org,182132
AAFS,ANSI/ASB Std 140-2021,"Standard for Training in Forensic Human Mitochondrial DNA Analysis, Interpretation, Comparison, Statistical Evaluation, and Reporting",(new standard),04/17/2020,04/16/2021,09/24/2021,Approved,tambrosius@aafs.org,183106
AAFS,ANSI/ASB Std 143-2024,Standard for Technical Review in Friction Ridge Examination,(new standard),07/31/2020,12/16/2022,02/15/2024,Approved,tambrosius@aafs.org,184107
AAFS,ANSI/ASB Std 145-2023,Standard for Consultation during Friction Ridge Examination,(new standard),07/31/2020,12/16/2022,07/11/2023,Approved,tambrosius@aafs.org,184108
AAFS,ANSI/ASB Std 146-2021,Standard for Resolving Commingled Remains in Forensic Anthropology,(new standard),05/29/2020,06/04/2021,09/24/2021,Approved,tambrosius@aafs.org,183421
AAFS,ANSI/ASB Std 147-2024,Standard for Analyzing Skeletal Trauma in Forensic Anthropology,(new standard),05/15/2020,05/26/2023,04/02/2024,Approved,tambrosius@aafs.org,183271
AAFS,ANSI/ASB Std 148-2024,Standard for Personal Identification in Forensic Anthropology,(new standard),08/20/2021,05/26/2023,07/15/2024,Approved,tambrosius@aafs.org,183766
AAFS,ANSI/ASB Std 149-2022,Standard for Taphonomic Observations in Support of the Postmortem Interval,(new standard),06/26/2020,12/03/2021,06/09/2022,Approved,tambrosius@aafs.org,183767
AAFS,ANSI/ASB Std 150-2021,Standard for Determination of Medicolegal Significance from Skeletal Remains in Forensic Anthropology,(new standard),06/26/2020,02/05/2021,09/24/2021,Approved,tambrosius@aafs.org,183768
AAFS,ANSI/ASB Std 152-2021,Standard for the Minimum Content Requirements of Forensic Toxicology Procedures,(new standard),06/12/2020,05/21/2021,09/24/2021,Approved,tambrosius@aafs.org,183526
AAFS,ANSI/ASB Std 153-2023,Standard Practices for Proficiency Testing for Forensic Toxicology Laboratories and Breath Alcohol Programs,(new standard),06/05/2020,08/19/2022,06/16/2023,Approved,tambrosius@aafs.org,183473
AAFS,ANSI/ASB Std 154-2024,Standard for Training on Testimony for Forensic Biology,(new standard),12/04/2020,08/19/2022,01/29/2024,Approved,tambrosius@aafs.org,184958
AAFS,ANSI/ASB Std 158-2023,Standard for Developing Standard Operating Procedures in Bloodstain Pattern Analysis,(new standard),08/21/2020,05/27/2022,04/24/2023,Approved,tambrosius@aafs.org,184244
AAFS,ANSI/ASB Std 159-2024,Standard for Scene Investigation and Reconstruction - Foundational Principles,(new standard),02/05/2021,05/13/2022,01/05/2024,Approved,tambrosius@aafs.org,185352
AAFS,ANSI/ASB Std 162-2024,Standard for the Forensic Examination and Documentation of Non-firearm Tools and Non-firearm Toolmarks,(new standard),05/28/2021,02/03/2023,01/29/2024,Approved,tambrosius@aafs.org,186420
AAFS,ANSI/ASB Std 167-2024,Standard for Reporting Results from Friction Ridge Examinations,(new standard),05/14/2021,04/28/2023,05/07/2024,Approved,tambrosius@aafs.org,186342
AAFS,ANSI/ASB Std 168-2024,Standard for Testimony Monitoring in Friction Ridge Examination,(new standard),05/14/2021,08/05/2022,01/25/2024,Approved,tambrosius@aafs.org,186341
AAFS,ANSI/ASB Std 169-2024,Standard for Clinical Veterinary Forensic Examination,(new standard),05/07/2021,08/11/2023,06/10/2024,Approved,tambrosius@aafs.org,186287
AAFS,ANSI/ASB Std 170-2024,Standard for Veterinary Forensic Postmortem Examination,(new standard),05/07/2021,04/07/2023,02/15/2024,Approved,tambrosius@aafs.org,186288
AAFS,ANSI/ASB Std 172-2024,Standard for Examination of Mechanical Checkwriters and Their Impressions,(new standard),06/25/2021,09/30/2022,01/05/2024,Approved,tambrosius@aafs.org,186684
AAFS,ANSI/ASB Std 175-2024,Standard for Interpreting and Reporting DNA Test Results Associated with Failed Controls and Contamination Events,(new standard),09/03/2021,12/01/2023,07/15/2024,Approved,tambrosius@aafs.org,187304
AAFS,ANSI/ASB Std 180-2024,Standard for the Selection and Evaluation of GenBank® Results for Taxonomic Assignment of Wildlife,(new standard),04/15/2022,08/11/2023,05/07/2024,Approved,tambrosius@aafs.org,189022
AAMI,ANSI/AAM/IEC 60601-1-2-2014,Medical electrical equipment - Part 1-2: General requirements for basic safety and essential performance - Collateral standard: Electromagnetic disturbances - Requirements and tests,"(identical national adoption of IEC 60601-1-2 and revision of ANSI/AAMI/IEC 60601-1-2, Ed.2-2007 (R2012))",,08/17/2012,05/08/2014,Approved,standards@aami.org,160506
AAMI,ANSI/AAMI 2700-1-2019,Medical Devices and Medical Systems — Essential safety requirements for equipment comprising the patient-centric integrated clinical environment (ICE) — Part 1: General requirements and conceptual model,(new standard),12/28/2018,03/08/2019,07/29/2019,Approved,LBulookbashi@aami.org,179219
AAMI,ANSI/AAMI 2700-2-1-2022,Medical Devices and Medical Systems — Essential safety and performance requirements for equipment comprising the patient-centric integrated clinical environment (ICE): Part 2-1: Particular requirements or forensic Data logging,(new standard),08/23/2019,06/26/2020,02/01/2022,Approved,LBulookbashi@aami.org,181386
AAMI,ANSI/AAMI BE83-2006 (R2011),Biological evaluation of medical devices - Part 18: Chemical characterization of materials,(reaffirm a national adoption ANSI/AAMI BE83-2006),,08/12/2011,12/02/2011,Approved,MWilliams@aami.org,156398
AAMI,ANSI/AAMI BP22-1994 (R2016),Blood pressure transducers,(reaffirmation of ANSI/AAMI BP22-1994 (R2011)),,11/11/2016,01/06/2017,Approved,LBulookbashi@aami.org,172538
AAMI,ANSI/AAMI CI86-2017,"Cochlear Implant Systems: Requirements for Safety, Functional Verification, Labeling and Reliability Reporting ",(new standard),04/15/2011,09/30/2016,01/06/2017,Approved,LBulookbashi@aami.org,155458
AAMI,ANSI/AAMI CN27-2021,General requirements for Luer activated valves (LAVs) incorporated into medical devices for intravascular applications,(new standard),07/29/2016,06/18/2021,10/26/2021,Approved,celliott@aami.org,171501
AAMI,ANSI/AAMI EC12-2000 (R2020),Disposable ECG electrodes,(reaffirmation of ANSI/AAMI EC12-2000),,05/29/2020,10/09/2020,Approved,LBulookbashi@aami.org,183399
AAMI,ANSI/AAMI EC53-2013 (R2020),ECG trunk cables and patient leadwires,(reaffirmation of ANSI/AAMI EC53-2013),,05/29/2020,11/20/2020,Approved,LBulookbashi@aami.org,183384
AAMI,ANSI/AAMI EC57-2012 (R2020),Testing and reporting performance results of cardiac rhythm and ST segment measurement algorithms,(reaffirmation of ANSI/AAMI EC57-2012),,05/29/2020,10/09/2020,Approved,LBulookbashi@aami.org,183385
