ASD Acronym,Designation,Title of Standard,Abstract,Link,
MEDDEV,Form,Trend Report,Visit the link for more information,https://ec.europa.eu/docsroom/documents/32305/attachments/6/translations,
MEDDEV,Form,Periodic Summary Report,Visit the link for more information,https://ec.europa.eu/docsroom/documents/32305/attachments/7/translations,
MEDDEV,MEDDEV 2.12/2 rev.2,Post market clinical follow-up studiesGuidance document Medical devices - Market surveillance - Post Market Clinical Follow-up studies - MEDDEV 2.12/2 rev.2,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10334/attachments/1/translations,
MEDDEV,MEDDEV 2.13 rev.1,Commission communication on the application of transitional provision of Directive 93/42/EEC,Visit the link for more information,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:31998Y0801(01),
MEDDEV,Information,"Informative document of the Commission’s services on implementation of directive 2007/47/EC amending directives 90/385/EEC, 93/42/EEC and 98/8/EC",Visit the link for more information,https://ec.europa.eu/docsroom/documents/10264/attachments/1/translations,
MEDDEV,MEDDEV 2.14/1 rev.2,Guidance document - In vitro diagnostic medical devices - Borderline and Classification issues. A guide for manufacturers and notified bodies - MEDDEV 2.14/1 rev.2,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10322/attachments/1/translations,
MEDDEV,MEDDEV 2.14/2 rev.1,Guidance document - In vitro diagnostic medical devices - Research Use Only products - MEDDEV 2.14/2 rev.1,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10292/attachments/1/translations,
MEDDEV,MEDDEV 2.14/3 rev.1,Supply of instructions for use (IFU) and other information for in-vitro diagnostic (IVD) medical devices,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10293/attachments/1/translations,
MEDDEV,Form,"Form for the registration of manufacturers and devices In Vitro Diagnostic Medical Device Directive, Article 10",Visit the link for more information,https://ec.europa.eu/docsroom/documents/10294/attachments/1/translations,
MEDDEV,MEDDEV 2.14/4,"	Guidance document - In vitro diagnostic medical devices - CE marking of blood based in vitro diagnostic medical devices for variant Creutzfeldt-Jakob Disease (vCJD) based on detection of abnormal PrP (host protein) - MEDDEV 2.14/4",Visit the link for more information,https://ec.europa.eu/docsroom/documents/10338/attachments/1/translations,
MEDDEV,MEDDEV 2.15 rev.3,"	Guidance document - Committees/Working Groups contributing to the implementation of the Medical Device Directives ",Visit the link for more information,https://ec.europa.eu/docsroom/documents/10295/attachments/1/translations,
